Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Digital Preservation in Grids and Clouds: A Middleware Approach","Journal of Grid Computing","","10","1","10.1007/s10723-012-9206-7","Peter WittekSándor Darányi","2012","http://link.springer.com/article/10.1007/s10723-012-9206-7","Article"
"Control System Development for Flexible Roll Forming Machine","Affective Computing and Intelligent Interaction","","","","10.1007/978-3-642-27866-2_85","Wang GuiyongLi QiangQian Bo","2012","http://link.springer.com/chapter/10.1007/978-3-642-27866-2_85","Chapter"
"Gesture recognition for control of rehabilitation robots","Cognition, Technology & Work","","9","4","10.1007/s10111-007-0062-3","L. GerlichB. N. ParsonsA. S. WhiteS. PriorP. Warner","2007","http://link.springer.com/article/10.1007/s10111-007-0062-3","Article"
"Support of Service Systems by Advanced SOA","Information Systems, E-learning, and Knowledge Management Research","","","","10.1007/978-3-642-35879-1_9","Jaroslav KrálMichal Žemlička","2013","http://link.springer.com/chapter/10.1007/978-3-642-35879-1_9","Chapter"
"Simulating Complex Robotic Scenarios with MORSE","Simulation, Modeling, and Programming for Autonomous Robots","","","","10.1007/978-3-642-34327-8_20","Gilberto EcheverriaSéverin LemaignanArnaud DegrooteSimon LacroixMichael KargPierrick KochCharles LesireSerge Stinckwich","2012","http://link.springer.com/chapter/10.1007/978-3-642-34327-8_20","Chapter"
"Intelligent Social Network of Devices","Computational Social Networks","","","","10.1007/978-1-4471-4048-1_13","Arpan PalChirabrata BhaumikPriyanka SinhaAvik Ghose","2012","http://link.springer.com/chapter/10.1007/978-1-4471-4048-1_13","Chapter"
"Ultra Low Cost Eye Gaze Tracking for Virtual Environments","Virtual Augmented and Mixed Reality. Designing and Developing Augmented and Virtual Environments","","","","10.1007/978-3-642-39405-8_12","Matthew SwartsJin Noh","2013","http://link.springer.com/chapter/10.1007/978-3-642-39405-8_12","Chapter"
"Cooperative caging and transport using autonomous aquatic surface vehicles","Intelligent Service Robotics","","5","1","10.1007/s11370-011-0104-9","Filippo ArrichielloHordur K. HeidarssonStefano ChiaveriniGaurav S. Sukhatme","2012","http://link.springer.com/article/10.1007/s11370-011-0104-9","Article"
"CoopIS 2013 PC Co-Chairs Message","On the Move to Meaningful Internet Systems: OTM 2013 Workshops","","","","10.1007/978-3-642-41033-8_88","Johann EderZohra BellahseneRania Y. Khalaf","2013","http://link.springer.com/chapter/10.1007/978-3-642-41033-8_88","Chapter"
"Transparent Digital Contents Sharing for Science Teachers","Human Interface and the Management of Information. Information and Interaction for Learning, Culture, Collaboration and Business,","","","","10.1007/978-3-642-39226-9_7","Thongchai KaewkiriyaRyosuke SagaHiroshi Tsuji","2013","http://link.springer.com/chapter/10.1007/978-3-642-39226-9_7","Chapter"
"Synthesizing Coordination Requirements for Heterogeneous Autonomous Agents","Autonomous Agents and Multi-Agent Systems","","3","2","10.1023/A:1010033827337","Munindar P. Singh","2000","http://link.springer.com/article/10.1023/A%3A1010033827337","Article"
"Teaching Culture as Social Constructivism","Advances in Web-Based Learning - ICWL 2012","","","","10.1007/978-3-642-33642-3_7","Cat KutayDeirdre Howard-WagnerLynette RileyJanet Mooney","2012","http://link.springer.com/chapter/10.1007/978-3-642-33642-3_7","Chapter"
"Exploring Spatial Business Data: A ROA Based eCampus Application","Web and Wireless Geographical Information Systems","","","","10.1007/978-3-642-37087-8_12","Thanh Thoa Pham ThiLinh Truong-HongJunjun YinJames D. Carswell","2013","http://link.springer.com/chapter/10.1007/978-3-642-37087-8_12","Chapter"
"Robotic Airships for Exploration of Planetary Bodies with an Atmosphere: Autonomy Challenges","Autonomous Robots","","14","2 - 3","10.1023/A:1022227602153","Alberto ElfesSamuel S. BuenoMarcel BergermanEly C. de PaivaJosué G. Ramos Jr.José R. Azinheira","2003","http://link.springer.com/article/10.1023/A%3A1022227602153","Article"
"Dynamic Configuration of Multimedia Applications","Management of Multimedia Networks and Services","","","","10.1007/978-3-540-39404-4_4","Slim Ben AtallahOussama LayaidaNoel De PalmaDaniel Hagimont","2003","http://link.springer.com/chapter/10.1007/978-3-540-39404-4_4","Chapter"
"Modeling Parallel Applications on Mobile Devices","Communicability, Computer Graphics and Innovative Design for Interactive Systems","","","","10.1007/978-3-642-33760-4_13","Daniel GiulianelliClaudia PonsCarina GonzálezPablo VeraRocío RodríguezVíctor Fernández","2012","http://link.springer.com/chapter/10.1007/978-3-642-33760-4_13","Chapter"
"Special issue on “Ubiquitous e-Learning Solutions over Heterogeneous Networks”","Personal and Ubiquitous Computing","","13","3","10.1007/s00779-007-0182-z","Gheorghita GhineaLampros StergioulasSherry ChenThanassis TiropanisSofia Tsekeridou","2009","http://link.springer.com/article/10.1007/s00779-007-0182-z","Article"
"Towards Benchmarking Cyber-Physical Systems in Factory Automation Scenarios","KI 2013: Advances in Artificial Intelligence","","","","10.1007/978-3-642-40942-4_28","Tim NiemuellerDaniel EwertSebastian ReuterUlrich KarrasAlexander FerreinSabina JeschkeGerhard Lakemeyer","2013","http://link.springer.com/chapter/10.1007/978-3-642-40942-4_28","Chapter"
"IQ-Paths: Predictably High Performance Data Streams Across Dynamic Network Overlays","Journal of Grid Computing","","5","2","10.1007/s10723-007-9066-8","Zhongtang CaiVibhore KumarKarsten Schwan","2007","http://link.springer.com/article/10.1007/s10723-007-9066-8","Article"
"Desktop-to-Mobile Web Adaptation through Customizable Two-Dimensional Semantic Redesign","Human-Centred Software Engineering","","","","10.1007/978-3-642-16488-0_7","Fabio PaternòGiuseppe Zichittella","2010","http://link.springer.com/chapter/10.1007/978-3-642-16488-0_7","Chapter"
"Re-thinking Bookmark Management – Less Choice Is More Efficient","Design, User Experience, and Usability. Web, Mobile, and Product Design","","","","10.1007/978-3-642-39253-5_33","Siu-Tsen ShenStephen D. Prior","2013","http://link.springer.com/chapter/10.1007/978-3-642-39253-5_33","Chapter"
"Infrastructure Federation Through Virtualized Delegation of Resources and Services","Journal of Grid Computing","","9","3","10.1007/s10723-011-9192-1","Georg BirkenheuerAndré BrinkmannMikael HögqvistAlexander PapaspyrouBernhard SchottDietmar SommerfeldWolfgang Ziegler","2011","http://link.springer.com/article/10.1007/s10723-011-9192-1","Article"
"Rich socio-cognitive agents for immersive training environments: case of NonKin Village","Autonomous Agents and Multi-Agent Systems","","24","2","10.1007/s10458-011-9167-4","Barry G. SilvermanDavid PietrocolaBen NyeNathan WeyerOleg OsinDan JohnsonRansom Weaver","2012","http://link.springer.com/article/10.1007/s10458-011-9167-4","Article"
"Information Filtering: Overview of Issues, Research and Systems","User Modeling and User-Adapted Interaction","","11","3","10.1023/A:1011196000674","Uri HananiBracha ShapiraPeretz Shoval","2001","http://link.springer.com/article/10.1023/A%3A1011196000674","Article"
"Service Discovery in Ubiquitous Feedback Control Loops","Distributed Applications and Interoperable Systems","","","","10.1007/978-3-642-13645-0_9","Daniel RomeroRomain RouvoyLionel SeinturierPierre Carton","2010","http://link.springer.com/chapter/10.1007/978-3-642-13645-0_9","Chapter"
"QCDgrid: A Grid Resource for Quantum Chromodynamics","Journal of Grid Computing","","3","1 - 2","10.1007/s10723-005-9005-5","J. PerryL. SmithA. N. JacksonR. D. KenwayB. JooC. M. MaynardA. TrewD. ByrneG. BeckettC. T. H. DaviesS. DowningA. C. IrvingC. McNeileZ. SroczynskiC. R. AlltonW. Armour","2005","http://link.springer.com/article/10.1007/s10723-005-9005-5","Article"
"Web Version of IntelligentBox (WebIB) and Its Integration with Webble World","Webble Technology","","","","10.1007/978-3-642-38836-1_2","Yoshihiro Okada","2013","http://link.springer.com/chapter/10.1007/978-3-642-38836-1_2","Chapter"
"A Socio-technical Approach for Transient SME Alliances","Leveraging Knowledge for Innovation in Collaborative Networks","","","","10.1007/978-3-642-04568-4_62","Yacine Rezgui","2009","http://link.springer.com/chapter/10.1007/978-3-642-04568-4_62","Chapter"
"The Open Graph Archive: A Community-Driven Effort","Graph Drawing","","","","10.1007/978-3-642-25878-7_42","Christian BachmaierFranz Josef BrandenburgPhilip EffingerCarsten GutwengerJyrki KatajainenKarsten KleinMiro SpönemannMatthias StegmaierMichael Wybrow","2012","http://link.springer.com/chapter/10.1007/978-3-642-25878-7_42","Chapter"
"The quest for runware: on compositional, executable and intuitive models","Software & Systems Modeling","","11","4","10.1007/s10270-012-0258-8","David HarelAssaf Marron","2012","http://link.springer.com/article/10.1007/s10270-012-0258-8","Article"
"Intrinsically Motivated Intelligent Rooms","Embedded and Ubiquitous Computing – EUC 2005 Workshops","","","","10.1007/11596042_20","Owen MacindoeMary Lou Maher","2005","http://link.springer.com/chapter/10.1007/11596042_20","Chapter"
"User-Friendly Authentication and Authorization Using a Smartphone Proxy","Computer Aided Systems Theory - EUROCAST 2013","","","","10.1007/978-3-642-53862-9_50","Luis RoalterStefan DiewaldAndreas MöllerTobias StockingerMatthias Kranz","2013","http://link.springer.com/chapter/10.1007/978-3-642-53862-9_50","Chapter"
"Experiences and Lessons Learned with the Development of a Source Code Search Engine","Finding Source Code on the Web for Remix and Reuse","","","","10.1007/978-1-4614-6596-6_7","Eduardo Santana de Almeida","2013","http://link.springer.com/chapter/10.1007/978-1-4614-6596-6_7","Chapter"
"Lexical Mediation for Ontology-Based Annotation of Multimedia","New Trends of Research in Ontologies and Lexical Resources","","","","10.1007/978-3-642-31782-8_7","Mario CataldiRossana DamianoVincenzo LombardoAntonio Pizzo","2013","http://link.springer.com/chapter/10.1007/978-3-642-31782-8_7","Chapter"
"A Framework for Building and Operating Context-Aware Mobile Applications","Mobile Wireless Middleware, Operating Systems, and Applications","","","","10.1007/978-3-642-30607-5_13","Aaratee ShresthaBettina BielTobias GriebeVolker Gruhn","2012","http://link.springer.com/chapter/10.1007/978-3-642-30607-5_13","Chapter"
"A Web Services Based Solution for Online Loan Management via Smartphone","Intelligent Information and Database Systems","","","","10.1007/978-3-642-28490-8_23","Théophile K. DagbaErcias LohounmèAnge Nambila","2012","http://link.springer.com/chapter/10.1007/978-3-642-28490-8_23","Chapter"
"An Interoperable Grid Information System for Integrated Resource Monitoring Based on Virtual Organizations","Journal of Grid Computing","","7","3","10.1007/s10723-009-9134-3","Timo BaurRebecca BreuTibor KálmánTobias LindingerAnne MilbertGevorg PoghosyanHelmut ReiserMathilde Romberg","2009","http://link.springer.com/article/10.1007/s10723-009-9134-3","Article"
"Multi-tenancy Performance Benchmark for Web Application Platforms","Web Engineering","","","","10.1007/978-3-642-39200-9_36","Rouven KrebsAlexander WertSamuel Kounev","2013","http://link.springer.com/chapter/10.1007/978-3-642-39200-9_36","Chapter"
"Building Agile Systems with Mobile Code","Autonomous Agents and Multi-Agent Systems","","4","4","10.1023/A:1012758908423","Todd PapaioannouJohn Edwards","2001","http://link.springer.com/article/10.1023/A%3A1012758908423","Article"
"Developing Software with Open Source Software Components","Finding Source Code on the Web for Remix and Reuse","","","","10.1007/978-1-4614-6596-6_9","Claudia AyalaXavier FranchReidar ConradiJingyue LiDaniela Cruzes","2013","http://link.springer.com/chapter/10.1007/978-1-4614-6596-6_9","Chapter"
"Dynamic Data Processing Middleware for Sensor Networks","Grid and Pervasive Computing Workshops","","","","10.1007/978-3-642-27916-4_16","Teemu LeppänenJukka Riekki","2012","http://link.springer.com/chapter/10.1007/978-3-642-27916-4_16","Chapter"
"A Framework for Migrating Web Applications to Web Services","Web Engineering","","","","10.1007/978-3-642-39200-9_32","Asil A. AlmonaiesManar H. AlalfiJames R. CordyThomas R. Dean","2013","http://link.springer.com/chapter/10.1007/978-3-642-39200-9_32","Chapter"
"MySpiders: Evolve Your Own Intelligent Web Crawlers","Autonomous Agents and Multi-Agent Systems","","5","2","10.1023/A:1014853428272","Gautam PantFilippo Menczer","2002","http://link.springer.com/article/10.1023/A%3A1014853428272","Article"
"Evaluating Modeling Solutions on Their Ability to Support the Partitioning of Automotive Embedded Systems","Emerging Directions in Embedded and Ubiquitous Computing","","","","10.1007/978-3-540-77090-9_62","Augustin KebemouIna Schieferdecker","2007","http://link.springer.com/chapter/10.1007/978-3-540-77090-9_62","Chapter"
"The Development of Mobile Augmented Reality","Expanding the Frontiers of Visual Analytics and Visualization","","","","10.1007/978-1-4471-2804-5_24","Lawrence J. RosenblumSteven K. FeinerSimon J. JulierJ. Edward Swan IIMark A. Livingston","2012","http://link.springer.com/chapter/10.1007/978-1-4471-2804-5_24","Chapter"
"PadSpace: A new framework for the service federation of web resources","Information Systems Frontiers","","15","1","10.1007/s10796-011-9324-y","Damdinsuren LkhamsurenYuzuru Tanaka","2013","http://link.springer.com/article/10.1007/s10796-011-9324-y","Article"
"Pattern-Based Design Research – An Iterative Research Method Balancing Rigor and Relevance","Design Science at the Intersection of Physical and Virtual Design","","","","10.1007/978-3-642-38827-9_6","Sabine BucklFlorian MatthesAlexander W. SchneiderChristian M. Schweda","2013","http://link.springer.com/chapter/10.1007/978-3-642-38827-9_6","Chapter"
"Goal-driven requirements analysis for hypermedia-intensive Web applications","Requirements Engineering","","9","2","10.1007/s00766-004-0188-2","Davide BolchiniPaolo Paolini","2004","http://link.springer.com/article/10.1007/s00766-004-0188-2","Article"
"Flexible Genome Retrieval for Supporting In-Silico Studies of Endobacteria-AMFs","E-Health","","","","10.1007/978-3-642-15515-4_15","S. MontaniG. LeonardiS. GhignoneL. Lanfranco","2010","http://link.springer.com/chapter/10.1007/978-3-642-15515-4_15","Chapter"
"An Exploratory Study on Collaboration Understanding in Software Development Social Networks","Collaboration and Technology","","","","10.1007/978-3-642-33284-5_9","Andréa M. MagdalenoRenata M. AraujoCláudia M. L. Werner","2012","http://link.springer.com/chapter/10.1007/978-3-642-33284-5_9","Chapter"
"Introduction","Computer Supported Cooperative Work (CSCW)","","9","1","10.1023/A:1017243824820","","2000","http://link.springer.com/article/10.1023/A%3A1017243824820","Article"
"Orbweb—A Network Substrate for Peer-to-Peer Desktop Grid Computing Based on Open Standards","Journal of Grid Computing","","8","1","10.1007/s10723-009-9121-8","Sven SchulzWolfgang BlochingerMathias Poths","2010","http://link.springer.com/article/10.1007/s10723-009-9121-8","Article"
"HLA Multi Agent/Short-Lived Ontology Platform for Enterprise Interoperability","Advances in Production Management Systems. New Challenges, New Approaches","","","","10.1007/978-3-642-16358-6_44","Gregory ZacharewiczOlivier LabartheDavid ChenBruno Vallespir","2010","http://link.springer.com/chapter/10.1007/978-3-642-16358-6_44","Chapter"
"A visual sonificated web search clustering engine","Cognitive Processing","","10","2","10.1007/s10339-009-0317-4","Alessio RugoMaria Laura MeleGiuseppe LiottaFrancesco TrottaEmilio Di GiacomoSimone BorsciStefano Federici","2009","http://link.springer.com/article/10.1007/s10339-009-0317-4","Article"
"e-Infrastructures for e-Science: A Global View","Journal of Grid Computing","","9","2","10.1007/s10723-011-9187-y","Giuseppe AndronicoValeria ArdizzoneRoberto BarberaBruce BeckerRiccardo BrunoAntonio CalanducciDiego CarvalhoLeandro CiuffoMarco FargettaEmidio GiorgioGiuseppe La RoccaAlberto MasoniMarco PaganoniFederico RuggieriDiego Scardaci","2011","http://link.springer.com/article/10.1007/s10723-011-9187-y","Article"
"An Ethnographic Study of XP Practice","Empirical Software Engineering","","9","4","10.1023/B:EMSE.0000039884.79385.54","Helen SharpHugh Robinson","2004","http://link.springer.com/article/10.1023/B%3AEMSE.0000039884.79385.54","Article"
"Advanced secure multimedia services for digital homes","Information Systems Frontiers","","14","3","10.1007/s10796-010-9258-9","Rodrigo RomanJavier LopezOlivier DugeonMarc LacostePierre Yves PlazaMarta Bel","2012","http://link.springer.com/article/10.1007/s10796-010-9258-9","Article"
"A Meta-model and Toolchain for Improved Interoperability of Robotic Frameworks","Simulation, Modeling, and Programming for Autonomous Robots","","","","10.1007/978-3-642-34327-8_30","Johannes WienkeArne NordmannSebastian Wrede","2012","http://link.springer.com/chapter/10.1007/978-3-642-34327-8_30","Chapter"
"Adaptable Contents Visualization (VIC)","Web Engineering","","","","10.1007/3-540-45068-8_30","Raúl Fernández GonzálezMa del Puerto Paule RuizJuan Ramón Pérez PérezMartín González RodríguezMarcos González Gallego","2003","http://link.springer.com/chapter/10.1007/3-540-45068-8_30","Chapter"
"Designing Socio-technical Applications for Ubiquitous Computing","Distributed Applications and Interoperable Systems","","","","10.1007/978-3-642-30823-9_17","Diana Elena ComesChristoph EversKurt GeihsAxel HoffmannRomy KniewelJan Marco LeimeisterStefan NiemczykAlexander RoßnagelLudger SchmidtThomas SchulzMatthias SöllnerAndreas Witsch","2012","http://link.springer.com/chapter/10.1007/978-3-642-30823-9_17","Chapter"
"Argument Visualization for eParticipation: Towards a Research Agenda and Prototype Tool","Electronic Participation","","","","10.1007/978-3-642-23333-3_6","Neil BennAnn Macintosh","2011","http://link.springer.com/chapter/10.1007/978-3-642-23333-3_6","Chapter"
"Flexible Security Deployment in Smart Spaces","Grid and Pervasive Computing Workshops","","","","10.1007/978-3-642-27916-4_5","Jani Suomalainen","2012","http://link.springer.com/chapter/10.1007/978-3-642-27916-4_5","Chapter"
"Team CHARLI: RoboCup 2012 Humanoid AdultSize League Winner","RoboCup 2012: Robot Soccer World Cup XVI","","","","10.1007/978-3-642-39250-4_6","Coleman KnabeMike HopkinsDennis W. Hong","2013","http://link.springer.com/chapter/10.1007/978-3-642-39250-4_6","Chapter"
"Exploring Data Integration Strategies for Public Sector Cloud Solutions","Advancing Democracy, Government and Governance","","","","10.1007/978-3-642-32701-8_24","Alexander BreilPatrik HitzelbergerPaulo Da Silva CarvalhoFernand Feltz","2012","http://link.springer.com/chapter/10.1007/978-3-642-32701-8_24","Chapter"
"Using Vitruvius as a Framework for Applied Game Design","Games for Health","","","","10.1007/978-3-658-02897-8_10","Micah HrehovcsikLies van Roessel","2013","http://link.springer.com/chapter/10.1007/978-3-658-02897-8_10","Chapter"
"Indoor robot gardening: design and implementation","Intelligent Service Robotics","","3","4","10.1007/s11370-010-0076-1","Nikolaus CorrellNikos ArechigaAdrienne BolgerMario BolliniBen CharrowAdam ClaytonFelipe DominguezKenneth DonahueSamuel DyarLuke JohnsonHuan LiuAlexander PatrikalakisTimothy RobertsonJeremy SmithDaniel SolteroMelissa Tanner","2010","http://link.springer.com/article/10.1007/s11370-010-0076-1","Article"
"An infrastructure for smart hospitals","Multimedia Tools and Applications","","59","1","10.1007/s11042-010-0695-8","Gennaro Della VecchiaLuigi GalloMassimo EspositoAntonio Coronato","2012","http://link.springer.com/article/10.1007/s11042-010-0695-8","Article"
"Phenotropic and stigmergic webs: the new reach of networks","Universal Access in the Information Society","","11","3","10.1007/s10209-011-0240-1","Gilles Privat","2012","http://link.springer.com/article/10.1007/s10209-011-0240-1","Article"
"A Service Administration Design Pattern for Dynamically Configuring Communication Services in Autonomic Computing Systems","Intelligent Information and Database Systems","","","","10.1007/978-3-642-28487-8_6","Vishnuvardhan MannavaT. Ramesh","2012","http://link.springer.com/chapter/10.1007/978-3-642-28487-8_6","Chapter"
"Description of a New Feature Meta-model","Emerging Directions in Embedded and Ubiquitous Computing","","","","10.1007/978-3-540-77090-9_30","Yu SongQi Chen","2007","http://link.springer.com/chapter/10.1007/978-3-540-77090-9_30","Chapter"
"The Charité Grid Portal: User-friendly and Secure Access to Grid-based Resources and Services","Journal of Grid Computing","","10","4","10.1007/s10723-012-9234-3","Jie WuRené SiewertAndreas HoheiselJürgen FalknerOliver StraußDinko BerberovicDagmar Krefting","2012","http://link.springer.com/article/10.1007/s10723-012-9234-3","Article"
"Automatically Mapping Human Skeletons onto Virtual Character Armatures","Intelligent Technologies for Interactive Entertainment","","","","10.1007/978-3-319-03892-6_10","Andrea SannaFabrizio LambertiGianluca ParavatiGilles CarlevarisPaolo Montuschi","2013","http://link.springer.com/chapter/10.1007/978-3-319-03892-6_10","Chapter"
"Temporal Development Methods for Agent-Based","Autonomous Agents and Multi-Agent Systems","","10","1","10.1007/s10458-004-3140-4","Michael Fisher","2005","http://link.springer.com/article/10.1007/s10458-004-3140-4","Article"
"Combining Conditional Random Fields and Background Knowledge for Improved Cyber Security","KI 2013: Advances in Artificial Intelligence","","","","10.1007/978-3-642-40942-4_25","Carsten ElfersStefan EdelkampHartmut Messerschmidt","2013","http://link.springer.com/chapter/10.1007/978-3-642-40942-4_25","Chapter"
"Introduction to mobile agents","Personal Technologies","","2","2","10.1007/BF01324934","Danny B. LangeMitsuru Oshima","1998","http://link.springer.com/article/10.1007/BF01324934","Article"
"Multi-Agent Programming Contest 2013: The Teams and the Design of Their Systems","Engineering Multi-Agent Systems","","","","10.1007/978-3-642-45343-4_22","Tobias AhlbrechtChristian Bender-SaebelkampfMaiquel de BritoNicolai Christian ChristensenJürgen DixMariana Ramos FrancoHendrik HellerAndreas Viktor HessAxel HeßlerJomi Fred HübnerAndreas Schmidt JensenJannick Boese JohnsenMichael KösterChengqian LiLu LiuMarcelo Menezes Morato","2013","http://link.springer.com/chapter/10.1007/978-3-642-45343-4_22","Chapter"
"A Dedicated Language for Context Composition and Execution of True Black-Box Model Transformations","Software Language Engineering","","","","10.1007/978-3-642-28830-2_2","Andreas SeibelRegina HebigStefan NeumannHolger Giese","2012","http://link.springer.com/chapter/10.1007/978-3-642-28830-2_2","Chapter"
"Enabling Interoperability among Grid Meta-Schedulers","Journal of Grid Computing","","11","2","10.1007/s10723-013-9252-9","Ivan RoderoDavid VillegasNorman BobroffYanbin LiuLiana FongS. Masoud Sadjadi","2013","http://link.springer.com/article/10.1007/s10723-013-9252-9","Article"
"VURTIGO: Visualization Platform for Real-Time, MRI-Guided Cardiac Electroanatomic Mapping","Statistical Atlases and Computational Models of the Heart. Imaging and Modelling Challenges","","","","10.1007/978-3-642-28326-0_25","Perry E. RadauStefan PintilieRoey FlorLabonny BiswasSamuel O. OduneyeVenkat RamananKevan A. AndersonGraham A. Wright","2012","http://link.springer.com/chapter/10.1007/978-3-642-28326-0_25","Chapter"
"Developing inclusive e-learning systems","Universal Access in the Information Society","","5","1","10.1007/s10209-006-0024-1","Anthony SavidisDimitris GrammenosConstantine Stephanidis","2006","http://link.springer.com/article/10.1007/s10209-006-0024-1","Article"
"G2CL: A Generic Group Communication Layer for Clustered Applications","Distributed Applications and Interoperable Systems","","","","10.1007/978-3-642-13645-0_13","Leandro SalesHenrique TeófiloNabor C. Mendonça","2010","http://link.springer.com/chapter/10.1007/978-3-642-13645-0_13","Chapter"
"Security in Persistently Reactive Systems","Embedded and Ubiquitous Computing – EUC 2005 Workshops","","","","10.1007/11596042_90","Takumi EndoJunichi MiuraKoichi NanashimaShoichi MorimotoYuichi GotoJingde Cheng","2005","http://link.springer.com/chapter/10.1007/11596042_90","Chapter"
"A Compositional Model for Gesture Definition","Human-Centered Software Engineering","","","","10.1007/978-3-642-34347-6_3","Lucio Davide SpanoAntonio CisterninoFabio Paternò","2012","http://link.springer.com/chapter/10.1007/978-3-642-34347-6_3","Chapter"
"Knowledge Management Tools for Terrorist Network Analysis","Knowledge Discovery, Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-642-29764-9_22","Uffe Kock WiilJolanta GniadekNasrullah MemonRasmus Rosenqvist Petersen","2013","http://link.springer.com/chapter/10.1007/978-3-642-29764-9_22","Chapter"
"Programming Behaviour of a Personal Service Robot with Application to Healthcare","Social Robotics","","","","10.1007/978-3-642-34103-8_23","Chandan DattaBruce A. MacDonaldChandimal JayawardenaI-Han Kuo","2012","http://link.springer.com/chapter/10.1007/978-3-642-34103-8_23","Chapter"
"CAKE – Distributed Environments for Context-Aware Systems","Ambient Intelligence","","","","10.1007/978-3-319-03647-2_24","Jörg CassensFelix SchmittMichael Herczeg","2013","http://link.springer.com/chapter/10.1007/978-3-319-03647-2_24","Chapter"
"The Semantic Product Memory: An Interactive Black Box for Smart Objects","SemProM","","","","10.1007/978-3-642-37377-0_1","Wolfgang Wahlster","2013","http://link.springer.com/chapter/10.1007/978-3-642-37377-0_1","Chapter"
"Model-Based Service Discovery and Orchestration for OSLC Services in Tool Chains","Web Engineering","","","","10.1007/978-3-642-31753-8_21","Matthias BiehlWenqing GuFrédéric Loiret","2012","http://link.springer.com/chapter/10.1007/978-3-642-31753-8_21","Chapter"
"Communities, Artifacts, Interaction and Contribution on the Web","The Personal Web","","","","10.1007/978-3-642-39995-4_7","Eleni Stroulia","2013","http://link.springer.com/chapter/10.1007/978-3-642-39995-4_7","Chapter"
"Moving Object Detection and Tracking in Videos","Performance Evaluation Software","","","","10.1007/978-1-4614-6534-8_2","Bahadir KarasuluSerdar Korukoglu","2013","http://link.springer.com/chapter/10.1007/978-1-4614-6534-8_2","Chapter"
"Content distribution in trail-aware environments","Journal of the Brazilian Computer Society","","16","3","10.1007/s13173-010-0015-1","Jader M. SilvaJoão H. RosaJorge L. V. BarbosaDébora N. F. BarbosaLuiz A. M. Palazzo","2010","http://link.springer.com/article/10.1007/s13173-010-0015-1","Article"
"Reconfigurable AUV for intervention missions: a case study on underwater object recovery","Intelligent Service Robotics","","5","1","10.1007/s11370-011-0101-z","Mario PratsDavid RibasNarcís PalomerasJuan Carlos GarcíaVolker NannenStephan WirthJosé Javier FernándezJoan P. BeltránRicard CamposPere RidaoPedro J. SanzGabriel OliverMarc CarrerasNuno GraciasRaúl MarínAlberto Ortiz","2012","http://link.springer.com/article/10.1007/s11370-011-0101-z","Article"
"The QUASIT Model and Framework for Scalable Data Stream Processing with Quality of Service","Mobile Wireless Middleware, Operating Systems, and Applications","","","","10.1007/978-3-642-36660-4_7","Paolo BellavistaAntonio CorradiAndrea Reale","2013","http://link.springer.com/chapter/10.1007/978-3-642-36660-4_7","Chapter"
"The Problem of Conceptual Incompatibility","Availability, Reliability and Security for Business, Enterprise and Health Information Systems","","","","10.1007/978-3-642-23300-5_6","Simon McGinnes","2011","http://link.springer.com/chapter/10.1007/978-3-642-23300-5_6","Chapter"
"Context-aware personal communication for teleliving","Personal Technologies","","2","4","10.1007/BF01885564","Theo KanterClaes FriskHenrik Gustafsson","1998","http://link.springer.com/article/10.1007/BF01885564","Article"
"grSim – RoboCup Small Size Robot Soccer Simulator","RoboCup 2011: Robot Soccer World Cup XV","","","","10.1007/978-3-642-32060-6_38","Valiallah MonajjemiAli KoochakzadehSaeed Shiry Ghidary","2012","http://link.springer.com/chapter/10.1007/978-3-642-32060-6_38","Chapter"
"Design of Smart Home Control Terminal Based on ZigBee and Electronic Technology","Advances in Mechanical and Electronic Engineering","","","","10.1007/978-3-642-31516-9_55","LiGuo TianMeng LiZhiLiang ChenBeiBei Guan","2012","http://link.springer.com/chapter/10.1007/978-3-642-31516-9_55","Chapter"
"A Service-Oriented Framework for Distributed Collaborative Knowledge Work","Enterprise Information Systems","","","","10.1007/978-3-642-29958-2_27","Jonas Schulte","2012","http://link.springer.com/chapter/10.1007/978-3-642-29958-2_27","Chapter"
"Prototype Multiplex Communication System for Remote Control of Machine Tools","Virtual and Networked Organizations, Emergent Technologies and Tools","","","","10.1007/978-3-642-31800-9_25","Vaibhav ShahGoran D. PutnikHélio Castro","2012","http://link.springer.com/chapter/10.1007/978-3-642-31800-9_25","Chapter"
"Threading Possibilities of Smart Devices Platforms for Future User Adaptive Systems","Intelligent Information and Database Systems","","","","10.1007/978-3-642-28490-8_48","Ondrej Krejcar","2012","http://link.springer.com/chapter/10.1007/978-3-642-28490-8_48","Chapter"
"Personalization for unobtrusive service interaction","Personal and Ubiquitous Computing","","16","5","10.1007/s00779-011-0414-0","Miriam GilPau GinerVicente Pelechano","2012","http://link.springer.com/article/10.1007/s00779-011-0414-0","Article"
"Supporting Educators to Discover and Select ICT Tools with SEEK-AT-WD","21st Century Learning for 21st Century Skills","","","","10.1007/978-3-642-33263-0_24","Adolfo Ruiz-CallejaGuillermo Vega-GorgojoAreeb AlowisheqJuan Ignacio Asensio-PérezThanassis Tiropanis","2012","http://link.springer.com/chapter/10.1007/978-3-642-33263-0_24","Chapter"
